DRILLHOLE_NO,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,MAJOR_LITHOLOGY,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,DH_NAME,drill_date,dist_od_km
4062,0.0,3.66,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1949-09-08,352.1
4062,3.66,17.68,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1949-09-08,352.1
4062,17.68,18.26,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1949-09-08,352.1
4063,0.0,4.0,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1949-09-16,351.4
4063,4.0,18.0,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1949-09-16,351.4
4063,18.0,20.12,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1949-09-16,351.4
4066,0.0,5.49,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1958-09-05,353.5
4066,5.49,24.3,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1958-09-05,353.5
4066,24.3,36.58,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1958-09-05,353.5
4067,0.0,17.0,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1953-10-03,349.6
4067,17.0,28.04,eI-i-g,Garford Formation,Sandstone,post-Cambrian cover,False,False,False,,1953-10-03,349.6
4067,28.04,36.5,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1953-10-03,349.6
4127,0.0,19.81,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1956-12-20,355.0
4127,19.81,36.58,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1956-12-20,355.0
4127,36.58,40.2,Y--p,St Peter Suite,Granite,Palaeoproterozoic,True,False,True,,1956-12-20,355.0
4159,0.0,10.36,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1954-02-25,355.3
4159,10.36,41.25,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1954-02-25,355.3
4159,41.25,42.65,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1954-02-25,355.3
4164,0.0,4.27,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1950-05-30,354.2
4164,4.27,36.88,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1950-05-30,354.2
4164,36.88,37.19,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1950-05-30,354.2
4181,0.0,11.58,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1956-03-09,360.7
4181,11.58,18.29,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1956-03-09,360.7
4181,18.29,20.0,Y--p,St Peter Suite,Granite,Palaeoproterozoic,True,False,True,,1956-03-09,360.7
4193,0.0,8.23,I---ew,Wiabuna Formation,Gravel,post-Cambrian cover,False,False,False,DEPT OF MINES,1967-05-02,359.8
4193,8.23,,Y--p,St Peter Suite,Granite,Palaeoproterozoic,True,False,True,DEPT OF MINES,1967-05-02,359.8
5051,0.0,2.5,IH,Quaternary rocks,Sand,post-Cambrian cover,False,False,False,COMM RAILWAYS (A169) 15,1972-03-27,267.1
5051,2.5,37.5,JK------01,Jurassic-Cretaceous unit 1,Sandstone,post-Cambrian cover,False,False,False,COMM RAILWAYS (A169) 15,1972-03-27,267.1
5051,37.5,38.7,AYm,Mulgathing Complex,Felsic Intrusive,Archaean,True,False,True,COMM RAILWAYS (A169) 15,1972-03-27,267.1
5145,0.0,60.96,K--rmb,Bulldog Shale,Shale,post-Cambrian cover,False,False,False,MOUNT FURNER 1,1969-06-17,350.4
5145,60.96,105.16,K----c,Cadna-owie Formation,Sandstone,post-Cambrian cover,False,False,False,MOUNT FURNER 1,1969-06-17,350.4
5145,105.16,132.59,JK---a,Algebuckina Sandstone,Sandstone,post-Cambrian cover,False,False,False,MOUNT FURNER 1,1969-06-17,350.4
5145,132.59,521.21,P----t,Mount Toondina Formation,Sandstone,post-Cambrian cover,False,False,False,MOUNT FURNER 1,1969-06-17,350.4
5145,521.21,548.64,P----s,Stuart Range Formation,Claystone,post-Cambrian cover,False,False,False,MOUNT FURNER 1,1969-06-17,350.4
5145,548.64,555.04,AYm,Mulgathing Complex,Gneiss,Archaean,True,False,True,MOUNT FURNER 1,1969-06-17,350.4
6092,0.0,3.05,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,E&WS - KUDDLEBA BORE,1913-08-01,311.7
6092,3.05,22.05,eI-i-g,Garford Formation,Clay (Undiff. Origin),post-Cambrian cover,False,False,False,E&WS - KUDDLEBA BORE,1913-08-01,311.7
6092,22.25,27.4,Y--p,St Peter Suite,Granite,Palaeoproterozoic,True,False,True,E&WS - KUDDLEBA BORE,1913-08-01,311.7
6100,0.0,7.0,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1948-11-08,327.8
6100,7.0,43.89,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1948-11-08,327.8
6100,43.89,57.0,M-th,Hiltaba Suite,Clay (Undiff. Origin),Mesoproterozoic,True,False,True,,1948-11-08,327.8
6100,57.0,58.0,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1948-11-08,327.8
6109,0.0,10.67,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,HIGHWAYS AND LOCAL GOVT DEPT,1963-12-06,323.2
6109,10.67,47.24,I---cb,Bridgewater Formation,Sandstone,post-Cambrian cover,False,False,False,HIGHWAYS AND LOCAL GOVT DEPT,1963-12-06,323.2
6109,47.24,51.82,Y--p,St Peter Suite,Clay (Undiff. Origin),Palaeoproterozoic,True,False,True,HIGHWAYS AND LOCAL GOVT DEPT,1963-12-06,323.2
6129,0.0,4.27,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1950-07-06,333.7
6129,4.27,35.57,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1950-07-06,333.7
6129,35.57,46.02,M-th,Hiltaba Suite,Clay (Undiff. Origin),Mesoproterozoic,True,False,True,,1950-07-06,333.7
6141,0.0,10.67,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1954-02-19,330.7
6141,10.67,44.81,eI-i-g,Garford Formation,Sand,post-Cambrian cover,False,False,False,,1954-02-19,330.7
6141,44.81,45.7,M-th,Hiltaba Suite,Granite,Mesoproterozoic,True,False,True,,1954-02-19,330.7
6144,0.0,1.2,IH,Quaternary rocks,Clay (Sedimentary),post-Cambrian cover,False,False,False,,1958-11-05,332.9
6144,1.2,4.8,I---cb,Bridgewater Formation,Limestone,post-Cambrian cover,False,False,False,,1958-11-05,332.9
