DRILLHOLE_NO,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,MAJOR_LITHOLOGY,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,DH_NAME,drill_date,dist_od_km,lon_dd,lat_dd,max_depth_m,OPERATOR_NAME
19796,1.22,28.66,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,28.66,49.53,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,49.53,75.0,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,75.0,92.26,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,92.26,115.98,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,115.98,131.11,M-talr--01,Roopena Basalt unit 1,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,131.11,149.35,M-talf--01,Fresh Well Formation unit 1,Siltstone,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,149.35,227.25,M-talf--01,Fresh Well Formation unit 1,Peperite,Mesoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19796,227.25,249.58,Y--x-o,Moonabie Formation,Sandstone,Palaeoproterozoic,True,False,True,ROOPENA DDH 1,1967-09-25,257.9,137.398676,-32.7188158,249.58,South Australia. Department of Mines and Energy.
19845,0.0,6.75,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,6.75,13.75,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,13.75,30.5,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,30.5,38.0,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,38.0,46.25,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,46.25,54.25,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,54.25,79.25,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,79.25,98.75,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,98.75,121.25,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,121.25,126.3,M-talr--01,Roopena Basalt unit 1,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,126.3,139.43,M-talf--01,Fresh Well Formation unit 1,Sandstone,Mesoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19845,139.43,168.3,Y--x-o,Moonabie Formation,Sandstone,Palaeoproterozoic,True,False,True,ROOPENA DDH 4,1968-08-20,257.8,137.3965388,-32.7186762,168.3,South Australia. Department of Mines and Energy.
19846,0.0,7.6,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
19846,7.6,21.43,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
19846,21.43,25.0,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
19846,25.0,34.14,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
19846,34.14,57.25,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
19846,57.25,58.6,M-talf,Fresh Well Formation,Peperite,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
19846,58.6,66.34,M-talr--02,Roopena Basalt unit 2,Basalt,Mesoproterozoic,True,False,True,ROOPENA DDH 2,1967-10-16,257.9,137.4009197,-32.718953,120.3,South Australia. Department of Mines and Energy.
